Adaptive Defrost,ApplStandard,Brand,CEC_,CompartGrVol,CompartNetVol,CompartType,Configuration,Country,Depth,Designation,FF Vol,FZ Vol,Group,Height,Icemaker,MEPSApproval,Model No,Family Name,N-Standard,Star2009,SRI2009,No_Doors,S-MEPS_Ad,S-MEPScutoff,Sold_in,Submit_ID,SubmitStatus,Tot Vol,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Fixed MEPS allowance factor,Variable MEPS allowance factor,Adjusted volume,Type,Star Rating (old),Star Image Large,Star Image Small,Registration Number
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RPBAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RPGAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RRDAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RSVAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,Smeg,439,"351.0,114.0","339.0,95.0","Fresh Food,Freezer",Upright,Italy,-,Refrigerator/Freezer,N/A,N/A,5T,-,No,Labelling and MEPS,FAB50RWHAU,FAB50***AU,AS/NZS 4474.1:2007/Amdt 2:2011,3.0,3.00309802840566,-,0.0,538.8256,"Australia,Fiji,New Zealand",112529,Superseded,465.0,-,2023-02-22,2021-08-17,Class 5,Available,,http://www.smeg.com.au,334.0,0.384,533.4,5T,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,ARF1394
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,CHIQ,508,"177.0,286.0","153.0,276.0","Freezer,Fresh Food",Upright,China,685.0,Refrigerator/Freezer,N/A,N/A,5B,1815.0,No,Labelling and MEPS,CFD46***,CFD46***,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.57795604563979,"2,2",284.348,941.7824,"Australia,Fiji,New Zealand",112546,Superseded,463.0,785.0,2023-02-21,2021-08-17,Class 6,Available,,,440.0,0.382,569.2,5B,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ARF1392
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,CHIQ,508,"177.0,286.0","153.0,276.0","Freezer,Fresh Food",Upright,China,685.0,Refrigerator/Freezer,N/A,N/A,5B,1815.0,No,Labelling and MEPS,CFD461GW,CFD46***,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.57795604563979,"2,2",284.348,941.7824,"Australia,Fiji,New Zealand",112546,Superseded,463.0,785.0,2023-02-21,2021-08-17,Class 6,Available,,,440.0,0.382,569.2,5B,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ARF1392
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,CHIQ,508,"177.0,286.0","153.0,276.0","Freezer,Fresh Food",Upright,China,685.0,Refrigerator/Freezer,N/A,N/A,5B,1815.0,No,Labelling and MEPS,CFD462GB,CFD46***,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.57795604563979,"2,2",284.348,941.7824,"Australia,Fiji,New Zealand",112546,Superseded,463.0,785.0,2023-02-21,2021-08-17,Class 6,Available,,,440.0,0.382,569.2,5B,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ARF1392
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,CHIQ,508,"177.0,286.0","153.0,276.0","Freezer,Fresh Food",Upright,China,685.0,Refrigerator/Freezer,N/A,N/A,5B,1815.0,No,Labelling and MEPS,CFD463S,CFD46***,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.57795604563979,"2,2",284.348,941.7824,"Australia,Fiji,New Zealand",112546,Superseded,463.0,785.0,2023-02-21,2021-08-17,Class 6,Available,,,440.0,0.382,569.2,5B,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ARF1392
No,Greenhouse and Energy Minimum Standards (Household Refrigerating Appliances) Determination 2012,CHIQ,508,"177.0,286.0","153.0,276.0","Freezer,Fresh Food",Upright,China,685.0,Refrigerator/Freezer,N/A,N/A,5B,1815.0,No,Labelling and MEPS,CFD463WBG,CFD46***,AS/NZS 4474.1:2007/Amdt 2:2011,2.5,2.57795604563979,"2,2",284.348,941.7824,"Australia,Fiji,New Zealand",112546,Superseded,463.0,785.0,2023-02-21,2021-08-17,Class 6,Available,,,440.0,0.382,569.2,5B,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,ARF1392
